EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile
51,3,True,50,4,.\VirtualBox\Windows,Windows.vdi,.vdi,12124684288,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-01 13:33:48.9082573,,2026-04-01 15:49:42.1965214,2026-04-01 13:33:48.9082573,2026-04-01 15:49:42.1965214,2026-04-01 13:33:48.9082573,2026-04-09 12:38:03.7114091,2026-04-01 13:33:48.9082573,0,662591084,278,,,,D:\$MFT
52,5,True,50,4,.\VirtualBox\Windows,Logs,,0,1,,True,False,False,False,False,False,NotContentIndexed,Posix,2026-04-01 13:33:55.6025051,,2026-04-09 12:32:25.3508504,2026-04-01 13:33:55.6025051,2026-04-09 12:32:25.3508504,2026-04-01 13:33:55.6025051,2026-04-13 12:27:47.5666275,2026-04-01 13:33:55.6025051,0,687898503,273,,,,D:\$MFT
53,8,True,50,4,.\VirtualBox\Windows,Snapshots,,0,1,,True,False,False,False,False,False,NotContentIndexed,Posix,2026-04-01 15:49:42.0361817,,2026-04-07 18:18:44.7223611,2026-04-01 15:49:42.0361817,2026-04-07 18:18:44.7223611,2026-04-01 15:49:42.0361817,2026-04-13 12:27:47.5829108,2026-04-01 15:49:42.0361817,0,687898562,273,,,,D:\$MFT
54,36,True,52,5,.\VirtualBox\Windows\Logs,VBoxHardening.log,.log,528472,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-09 12:32:14.3323879,,2026-04-09 12:38:06.3493417,2026-04-09 12:32:14.3323879,2026-04-09 12:38:06.3493417,2026-04-09 12:32:14.3323879,2026-04-09 12:38:06.3673423,2026-04-09 12:32:14.3323879,37592,662585451,282,,,,D:\$MFT
55,10,True,52,5,.\VirtualBox\Windows\Logs,VBox.log.3,.3,653324,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-08 11:03:01.1490125,,2026-04-08 13:49:57.2337301,,2026-04-09 12:32:25.3493881,2026-04-09 12:17:25.4398616,2026-04-08 13:49:57.2337301,,34024,662570103,278,,,,D:\$MFT
56,8,True,52,5,.\VirtualBox\Windows\Logs,VBox.log.2,.2,336593,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-08 19:09:09.4759177,,2026-04-09 12:17:08.8275634,,2026-04-09 12:32:25.3498422,2026-04-09 12:17:25.4398616,2026-04-09 12:17:08.8275634,,34264,662570534,278,,,,D:\$MFT
57,14,True,52,5,.\VirtualBox\Windows\Logs,VBox.log.1,.1,301657,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-09 12:17:25.4408399,,2026-04-09 12:31:47.4704307,,2026-04-09 12:32:25.3498422,2026-04-09 12:31:47.4704307,2026-04-09 12:31:47.4704307,,34504,662570941,278,,,,D:\$MFT
58,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2026-02-20 19:22:42.1198351,,2026-02-20 19:22:42.1198351,,2026-02-20 19:22:42.1198351,,2026-04-10 12:03:32.1335023,2026-02-20 19:22:42.1198351,0,687886186,263,,,,D:\$MFT
59,2,True,36,1,.\System Volume Information,ClientRecoveryPasswordRotation,,0,1,,True,False,False,False,False,False,None,Posix,2026-02-25 11:47:10.9451424,,2026-02-25 11:47:10.9451424,,2026-02-25 11:47:10.9451424,,2026-04-10 12:03:04.3578864,2026-02-25 11:47:10.9451424,0,687885334,266,,,,D:\$MFT
60,1,True,36,1,.\System Volume Information,AadRecoveryPasswordDelete,,0,1,,True,False,False,False,False,False,None,Posix,2026-02-25 11:47:10.9764031,,2026-02-25 11:47:10.9764031,,2026-02-25 11:47:10.9764031,,2026-04-10 12:03:04.3578864,2026-02-25 11:47:10.9764031,0,687885393,265,,,,D:\$MFT
61,1,True,36,1,.\System Volume Information,IndexerVolumeGuid,,76,1,,False,False,False,False,False,False,Archive,Posix,2026-02-25 11:47:15.9663987,,2026-02-25 11:47:15.9663987,,2026-02-25 11:47:15.9663987,,2026-04-10 12:02:58.7903745,2026-02-25 11:47:15.9663987,0,687892125,263,,,,D:\$MFT
62,1,True,36,1,.\System Volume Information,tracking.log,.log,20480,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-25 11:47:16.6002010,,2026-02-25 11:47:16.7610953,2026-02-25 11:47:16.6530027,2026-02-25 11:47:16.7610953,2026-02-25 11:47:16.6530027,2026-02-25 11:47:16.7610953,2026-02-25 11:47:16.6530027,0,67147108,267,,,,D:\$MFT
63,1,True,36,1,.\System Volume Information,EDP,,0,1,,True,False,False,False,False,False,None,Posix,2026-02-25 11:54:04.4467468,,2026-02-25 11:54:04.4473745,2026-02-25 11:54:04.4467468,2026-02-25 11:54:04.4473745,2026-02-25 11:54:04.4467468,2026-02-25 11:54:04.4473745,2026-02-25 11:54:04.4467468,0,67147283,268,,,,D:\$MFT
